id	index	average_coverage
000409	0	13.86
000409	1	23.87
000409	2	26.55
000409	3	15.96
000409	4	15.16
000409	5	20.56
000409	6	24.14
000409	7	29.77
000409	8	26.43
000409	9	21.83
000409	10	29.08
000409	11	29.24
000409	12	27.58
000409	13	33.92
000409	14	28.15
000409	15	17.52
000409	16	13.01
000409	17	17.85
000409	18	16.95
000409	19	12.02
000409	20	18.41
000409	21	14.23
000409	22	16.68
000409	23	28.59
000409	24	26.96
000409	25	32.27
000409	26	36.76
000409	27	34.18
000409	28	28.34
000409	29	23.86
000409	30	23.92
000409	31	21.46
000409	32	16.17
000409	33	19.85
000409	34	23.93
000409	35	13.6
000409	36	3.0
000412	0	54.68
000412	1	156.78
000412	2	158.69
000412	3	204.52
000412	4	226.17
000412	5	193.2
000412	6	180.13
000412	7	167.51
000412	8	116.78
000412	9	106.19
000412	10	128.6
000412	11	161.5
000412	12	218.73
000412	13	158.31
000412	14	129.73
000412	15	127.7
000412	16	120.62
000412	17	96.76
000412	18	135.78
000412	19	79.71
000412	20	105.16
000412	21	130.32
000412	22	116.8
000412	23	153.37
000412	24	138.61
000412	25	232.11
000412	26	337.36
000412	27	424.96
000412	28	387.1
000412	29	386.72
000412	30	141.17
000412	31	53.84
000412	32	53.53
000412	33	51.7
000412	34	83.11
000412	35	65.68
000414	0	1.84
000414	1	7.63
000414	2	20.82
000414	3	19.86
000414	4	20.48
000414	5	18.85
000414	6	17.27
000414	7	16.24
000414	8	19.25
000414	9	17.17
000414	10	15.61
000414	11	16.22
000414	12	20.1
000414	13	18.99
000414	14	16.42
000414	15	21.29
000414	16	23.23
000414	17	28.24
000414	18	30.97
000414	19	25.49
000414	20	28.58
000414	21	30.41
000414	22	28.2
000414	23	18.63
000414	24	17.85
000414	25	21.0
000414	26	20.93
000414	27	19.5
000414	28	23.92
